Startup,Sector,Revenue_Monthly,ARR,ARR_PrevYear,Users,New_Customers_Monthly,CAC,LTV,Expenses,COGS,Burn_Rate,Cash_Balance,Sales_Marketing_Spend,Investment_Amount,Entry_Valuation,Last_Round_Valuation,Ownership_Pct,Investment_Date,Round
NimbleHR,SaaS / B2B,3800000,45600000,30400000,420,18,180000,1980000,3200000,570000,-600000,72000000,1200000,80000000,320000000,640000000,18.5,2022-03-15,Series B
VaultIQ,SaaS / B2B,5200000,62400000,36000000,280,22,220000,2640000,5800000,780000,-2400000,96000000,1800000,120000000,400000000,900000000,14.2,2023-07-01,Series A
FieldEdge,SaaS / B2B,1100000,13200000,9600000,1800,55,28000,196000,1400000,220000,-500000,18000000,420000,30000000,90000000,180000000,22.0,2022-11-20,Series A
Synqura,SaaS / B2B,7500000,90000000,54000000,310,12,380000,4940000,6800000,1125000,-1200000,156000000,2200000,200000000,600000000,1500000000,16.0,2023-01-10,Series B
DocuStack,SaaS / B2B,620000,7440000,6200000,950,30,35000,105000,980000,155000,-480000,5760000,280000,20000000,80000000,100000000,20.0,2021-08-05,Series A
ProcureAI,SaaS / B2B,420000,5040000,1200000,48,8,250000,2250000,1800000,63000,-1500000,24000000,600000,40000000,150000000,300000000,19.5,2024-02-28,Seed
MapMetrics,SaaS / B2B,2100000,25200000,16800000,190,14,160000,1440000,2400000,315000,-600000,36000000,700000,60000000,200000000,420000000,17.8,2023-05-12,Series A
VoltRide,EV & Mobility,160000000,1920000000,1100000000,28000,1800,3500,35000,185000000,131200000,-38000000,760000000,12000000,600000000,2000000000,7000000000,9.5,2022-06-01,Series B
ChargGrid,EV & Mobility,18000000,216000000,108000000,4200,180,12000,180000,20000000,9000000,-4000000,120000000,3500000,150000000,450000000,1200000000,12.5,2023-03-22,Series A
FleetZap,EV & Mobility,32000000,384000000,192000000,6800,320,8500,102000,36000000,16000000,-8000000,240000000,5500000,250000000,700000000,2000000000,11.2,2023-09-15,Series B
NuCell,EV & Mobility,8500000,102000000,36000000,9200,600,1800,21600,18000000,5950000,-12000000,96000000,2200000,180000000,500000000,1100000000,15.0,2023-11-01,Series A
Torqen Motors,EV & Mobility,55000000,660000000,330000000,4500,320,15000,150000,64000000,46750000,-16000000,320000000,4000000,350000000,900000000,3000000000,10.8,2022-09-10,Series B
SparkRoute,EV & Mobility,4200000,50400000,28800000,340,20,200000,2400000,4800000,630000,-900000,54000000,900000,80000000,240000000,560000000,18.0,2023-07-20,Series A
OrbSync,DeepTech / Aerospace,3200000,38400000,12000000,6,1,5000000,150000000,28000000,19200000,-26000000,780000000,1500000,800000000,2500000000,8500000000,8.0,2023-04-18,Series B
PixelOrbit,DeepTech / Aerospace,1800000,21600000,6000000,28,3,3500000,84000000,14000000,5400000,-13000000,390000000,800000,400000000,1200000000,2200000000,11.5,2023-08-30,Series A
PropelDrive,DeepTech / Aerospace,900000,10800000,2400000,4,1,8000000,200000000,9500000,4500000,-9200000,165600000,400000,200000000,600000000,1500000000,13.5,2023-12-01,Series A
QuantumSense,DeepTech / Aerospace,250000,3000000,0,2,0,10000000,500000000,6500000,750000,-6500000,117000000,200000,120000000,400000000,1000000000,16.0,2024-04-10,Seed
